window,step,test_patient,train_shape,test_shape,train_lable_count,test_label_count,accuracy,f1_score,precision,recall,conf_matrix,clf_report,loss
400,40,G09,"(19058, 25)","(592, 25)","{0.0: 13303, 1.0: 5755}",{0.0: 592},0.9932088255882263,0.9937499761581421,0.9932088255882263,0.9932088255882263,"[[585   4]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9932088285229203, 'f1-score': 0.9965928449744464, 'support': 589}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9932088285229203, 'macro avg': {'precision': 0.5, 'recall': 0.4966044142614601, 'f1-score': 0.4982964224872232, 'support': 589}, 'weighted avg': {'precision': 1.0, 'recall': 0.9932088285229203, 'f1-score': 0.9965928449744464, 'support': 589}}",0.0587606318295002
400,40,G11,"(19274, 25)","(376, 25)","{0.0: 13590, 1.0: 5684}","{0.0: 305, 1.0: 71}",0.9276139140129089,0.9248231053352356,0.9276139140129089,0.9276139140129089,"[[276  26]
 [  1  70]]","{'0': {'precision': 0.9963898916967509, 'recall': 0.9139072847682119, 'f1-score': 0.9533678756476683, 'support': 302}, '1': {'precision': 0.7291666666666666, 'recall': 0.9859154929577465, 'f1-score': 0.8383233532934132, 'support': 71}, 'accuracy': 0.9276139410187667, 'macro avg': {'precision': 0.8627782791817087, 'recall': 0.9499113888629792, 'f1-score': 0.8958456144705408, 'support': 373}, 'weighted avg': {'precision': 0.9455243448411583, 'recall': 0.9276139410187667, 'f1-score': 0.931469320454231, 'support': 373}}",0.21763555705547333
400,40,P231,"(18900, 25)","(750, 25)","{0.0: 13145, 1.0: 5755}",{0.0: 750},0.9504685401916504,0.9480075240135193,0.9504685401916504,0.9504685401916504,"[[710  37]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9504685408299867, 'f1-score': 0.9746053534660261, 'support': 747}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9504685408299867, 'macro avg': {'precision': 0.5, 'recall': 0.47523427041499333, 'f1-score': 0.48730267673301303, 'support': 747}, 'weighted avg': {'precision': 1.0, 'recall': 0.9504685408299867, 'f1-score': 0.9746053534660261, 'support': 747}}",0.06432206928730011
400,40,P351,"(16859, 25)","(2791, 25)","{0.0: 11104, 1.0: 5755}",{0.0: 2791},0.9282639622688293,0.9287010431289673,0.9282639622688293,0.9282639622688293,"[[2588  200]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.9282639885222381, 'f1-score': 0.9627976190476191, 'support': 2788}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9282639885222381, 'macro avg': {'precision': 0.5, 'recall': 0.46413199426111906, 'f1-score': 0.48139880952380953, 'support': 2788}, 'weighted avg': {'precision': 1.0, 'recall': 0.9282639885222381, 'f1-score': 0.9627976190476191, 'support': 2788}}",0.12792620062828064
400,40,P379,"(18612, 25)","(1038, 25)","{0.0: 13180, 1.0: 5432}","{0.0: 715, 1.0: 323}",0.8560386300086975,0.8541945219039917,0.8560386300086975,0.8560386300086975,"[[659  53]
 [ 96 227]]","{'0': {'precision': 0.8728476821192053, 'recall': 0.925561797752809, 'f1-score': 0.8984321745057942, 'support': 712}, '1': {'precision': 0.8107142857142857, 'recall': 0.7027863777089783, 'f1-score': 0.7529021558872305, 'support': 323}, 'accuracy': 0.8560386473429952, 'macro avg': {'precision': 0.8417809839167455, 'recall': 0.8141740877308936, 'f1-score': 0.8256671651965124, 'support': 1035}, 'weighted avg': {'precision': 0.8534572598595057, 'recall': 0.8560386473429952, 'f1-score': 0.853015559999711, 'support': 1035}}",0.668075680732727
400,40,P551,"(18747, 25)","(903, 25)","{0.0: 13760, 1.0: 4987}","{1.0: 768, 0.0: 135}",0.8855555653572083,0.8302082419395447,0.8855555653572083,0.8855555653572083,"[[ 44  88]
 [ 15 753]]","{'0': {'precision': 0.7457627118644068, 'recall': 0.3333333333333333, 'f1-score': 0.4607329842931937, 'support': 132}, '1': {'precision': 0.8953626634958383, 'recall': 0.98046875, 'f1-score': 0.9359850839030454, 'support': 768}, 'accuracy': 0.8855555555555555, 'macro avg': {'precision': 0.8205626876801225, 'recall': 0.6569010416666666, 'f1-score': 0.6983590340981195, 'support': 900}, 'weighted avg': {'precision': 0.8734213372565617, 'recall': 0.8855555555555555, 'f1-score': 0.8662814426269337, 'support': 900}}",0.4684079885482788
400,40,P623,"(19145, 25)","(505, 25)","{0.0: 13390, 1.0: 5755}",{0.0: 505},0.9183266758918762,0.918836772441864,0.9183266758918762,0.9183266758918762,"[[461  41]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9183266932270916, 'f1-score': 0.9574247144340602, 'support': 502}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9183266932270916, 'macro avg': {'precision': 0.5, 'recall': 0.4591633466135458, 'f1-score': 0.4787123572170301, 'support': 502}, 'weighted avg': {'precision': 1.0, 'recall': 0.9183266932270916, 'f1-score': 0.9574247144340602, 'support': 502}}",0.12220531702041626
400,40,P645,"(18855, 25)","(795, 25)","{0.0: 13100, 1.0: 5755}",{0.0: 795},0.9457070827484131,0.948317289352417,0.9457070827484131,0.9457070827484131,"[[749  43]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9457070707070707, 'f1-score': 0.9720960415314731, 'support': 792}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9457070707070707, 'macro avg': {'precision': 0.5, 'recall': 0.47285353535353536, 'f1-score': 0.48604802076573655, 'support': 792}, 'weighted avg': {'precision': 1.0, 'recall': 0.9457070707070707, 'f1-score': 0.9720960415314731, 'support': 792}}",0.12880754470825195
400,40,P812,"(16083, 25)","(3567, 25)","{0.0: 10890, 1.0: 5193}","{0.0: 3005, 1.0: 562}",0.8282828330993652,0.8280996680259705,0.8282828330993652,0.8282828330993652,"[[2475  527]
 [  85  477]]","{'0': {'precision': 0.966796875, 'recall': 0.8244503664223851, 'f1-score': 0.8899676375404532, 'support': 3002}, '1': {'precision': 0.4750996015936255, 'recall': 0.8487544483985765, 'f1-score': 0.6091954022988506, 'support': 562}, 'accuracy': 0.8282828282828283, 'macro avg': {'precision': 0.7209482382968128, 'recall': 0.8366024074104808, 'f1-score': 0.7495815199196518, 'support': 3564}, 'weighted avg': {'precision': 0.8892621197658859, 'recall': 0.8282828282828283, 'f1-score': 0.8456932278306382, 'support': 3564}}",0.30255743861198425
400,40,P876,"(19052, 25)","(598, 25)","{0.0: 13297, 1.0: 5755}",{0.0: 598},0.8890756368637085,0.8672696948051453,0.8890756368637085,0.8890756368637085,"[[529  66]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.8890756302521008, 'f1-score': 0.9412811387900356, 'support': 595}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.8890756302521008, 'macro avg': {'precision': 0.5, 'recall': 0.4445378151260504, 'f1-score': 0.4706405693950178, 'support': 595}, 'weighted avg': {'precision': 1.0, 'recall': 0.8890756302521008, 'f1-score': 0.9412811387900356, 'support': 595}}",0.1565329134464264
