,test_patient,train_shape,test_shape,train_lable_count,test_label_count,sensor_pos,sensor_type,features,model_name,duration,accuracy,f1_score,precision,recall,conf_matrix,clf_report,loss
1315,G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,gyro,freq,RandomForest,0:00:22.442508,0.6171232876712329,0.7060190917014241,0.9047816098398778,0.6171232876712329,"[[ 168   54]
 [1064 1634]]","{'0.0': {'precision': 0.13636363636363635, 'recall': 0.7567567567567568, 'f1-score': 0.23108665749656118, 'support': 222}, '1.0': {'precision': 0.9680094786729858, 'recall': 0.6056338028169014, 'f1-score': 0.7450980392156863, 'support': 2698}, 'accuracy': 0.6171232876712329, 'macro avg': {'precision': 0.5521865575183111, 'recall': 0.681195279786829, 'f1-score': 0.48809234835612375, 'support': 2920}, 'weighted avg': {'precision': 0.9047816098398778, 'recall': 0.6171232876712329, 'f1-score': 0.7060190917014241, 'support': 2920}}",
1316,G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,gyro,freq,DecisionTree,0:00:00.344767,0.5688356164383561,0.6665262780376275,0.8945297391996653,0.5688356164383561,"[[ 157   65]
 [1194 1504]]","{'0.0': {'precision': 0.11621021465581051, 'recall': 0.7072072072072072, 'f1-score': 0.1996185632549269, 'support': 222}, '1.0': {'precision': 0.958572339069471, 'recall': 0.5574499629355077, 'f1-score': 0.7049449261776423, 'support': 2698}, 'accuracy': 0.5688356164383561, 'macro avg': {'precision': 0.5373912768626408, 'recall': 0.6323285850713575, 'f1-score': 0.4522817447162846, 'support': 2920}, 'weighted avg': {'precision': 0.8945297391996653, 'recall': 0.5688356164383561, 'f1-score': 0.6665262780376275, 'support': 2920}}",
1317,G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,gyro,freq,GaussianNaiveBayes,0:00:00.030851,0.9071917808219178,0.8896679108088154,0.8772923161340129,0.9071917808219178,"[[  23  199]
 [  72 2626]]","{'0.0': {'precision': 0.24210526315789474, 'recall': 0.1036036036036036, 'f1-score': 0.1451104100946372, 'support': 222}, '1.0': {'precision': 0.9295575221238938, 'recall': 0.9733135656041513, 'f1-score': 0.9509324642404491, 'support': 2698}, 'accuracy': 0.9071917808219178, 'macro avg': {'precision': 0.5858313926408942, 'recall': 0.5384585846038774, 'f1-score': 0.5480214371675431, 'support': 2920}, 'weighted avg': {'precision': 0.8772923161340129, 'recall': 0.9071917808219178, 'f1-score': 0.8896679108088154, 'support': 2920}}",
1318,G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,gyro,freq,K-NearestNeighbors,0:00:00.132807,0.5222602739726028,0.6253676908194554,0.8945130716174191,0.5222602739726028,"[[ 164   58]
 [1337 1361]]","{'0.0': {'precision': 0.10926049300466356, 'recall': 0.7387387387387387, 'f1-score': 0.19036564132327335, 'support': 222}, '1.0': {'precision': 0.9591261451726568, 'recall': 0.5044477390659748, 'f1-score': 0.661161039591936, 'support': 2698}, 'accuracy': 0.5222602739726028, 'macro avg': {'precision': 0.5341933190886602, 'recall': 0.6215932389023568, 'f1-score': 0.42576334045760467, 'support': 2920}, 'weighted avg': {'precision': 0.894513071617419, 'recall': 0.5222602739726028, 'f1-score': 0.6253676908194554, 'support': 2920}}",
1319,G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,gyro,freq,K-NearestNeighbors_DynamicTimeWrapping,0:01:34.179675,0.4842465753424657,0.5903201731967066,0.890055753184342,0.4842465753424657,"[[ 163   59]
 [1447 1251]]","{'0.0': {'precision': 0.10124223602484472, 'recall': 0.7342342342342343, 'f1-score': 0.1779475982532751, 'support': 222}, '1.0': {'precision': 0.9549618320610687, 'recall': 0.4636767976278725, 'f1-score': 0.6242514970059881, 'support': 2698}, 'accuracy': 0.48424657534246573, 'macro avg': {'precision': 0.5281020340429567, 'recall': 0.5989555159310533, 'f1-score': 0.4010995476296316, 'support': 2920}, 'weighted avg': {'precision': 0.890055753184342, 'recall': 0.48424657534246573, 'f1-score': 0.5903201731967066, 'support': 2920}}",
1320,G09,"(19058, 25)","(592, 25)","{0.0: 13303, 1.0: 5755}",{0.0: 592},shank,gyro,freq,LSTM,0:04:40.787291,0.9864176511764526,0.9868420958518982,0.9864176511764526,0.9864176511764526,"[[581   8]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9864176570458404, 'f1-score': 0.9931623931623932, 'support': 589}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9864176570458404, 'macro avg': {'precision': 0.5, 'recall': 0.4932088285229202, 'f1-score': 0.4965811965811966, 'support': 589}, 'weighted avg': {'precision': 1.0, 'recall': 0.9864176570458404, 'f1-score': 0.9931623931623933, 'support': 589}}",0.03219355270266533
1322,G09,"(19058, 25)","(592, 25)","{0.0: 13303, 1.0: 5755}",{0.0: 592},shank,gyro,freq,SupportVectorsMachine,0:00:37.843209,0.8969594594594594,0.9456812110418522,1.0,0.8969594594594594,"[[531  61]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.8969594594594594, 'f1-score': 0.9456812110418522, 'support': 592}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.8969594594594594, 'macro avg': {'precision': 0.5, 'recall': 0.4484797297297297, 'f1-score': 0.4728406055209261, 'support': 592}, 'weighted avg': {'precision': 1.0, 'recall': 0.8969594594594594, 'f1-score': 0.9456812110418522, 'support': 592}}",
1323,G09,"(19058, 25)","(592, 25)","{0.0: 13303, 1.0: 5755}",{0.0: 592},shank,gyro,freq,RandomForest,0:00:30.138814,0.9864864864864864,0.9931972789115646,1.0,0.9864864864864864,"[[584   8]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.9864864864864865, 'f1-score': 0.9931972789115647, 'support': 592}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9864864864864865, 'macro avg': {'precision': 0.5, 'recall': 0.49324324324324326, 'f1-score': 0.49659863945578236, 'support': 592}, 'weighted avg': {'precision': 1.0, 'recall': 0.9864864864864865, 'f1-score': 0.9931972789115646, 'support': 592}}",
1324,G09,"(19058, 25)","(592, 25)","{0.0: 13303, 1.0: 5755}",{0.0: 592},shank,gyro,freq,DecisionTree,0:00:00.376756,0.9628378378378378,0.9810671256454391,1.0,0.9628378378378378,"[[570  22]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.9628378378378378, 'f1-score': 0.981067125645439, 'support': 592}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9628378378378378, 'macro avg': {'precision': 0.5, 'recall': 0.4814189189189189, 'f1-score': 0.4905335628227195, 'support': 592}, 'weighted avg': {'precision': 1.0, 'recall': 0.9628378378378378, 'f1-score': 0.981067125645439, 'support': 592}}",
1325,G09,"(19058, 25)","(592, 25)","{0.0: 13303, 1.0: 5755}",{0.0: 592},shank,gyro,freq,GaussianNaiveBayes,0:00:00.019014,0.4814189189189189,0.6499429874572407,1.0,0.4814189189189189,"[[285 307]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.4814189189189189, 'f1-score': 0.6499429874572407, 'support': 592}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.4814189189189189, 'macro avg': {'precision': 0.5, 'recall': 0.24070945945945946, 'f1-score': 0.32497149372862033, 'support': 592}, 'weighted avg': {'precision': 1.0, 'recall': 0.4814189189189189, 'f1-score': 0.6499429874572407, 'support': 592}}",
