0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'SGD'}
0.902415 (0.075114) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'Adamax'}
0.902415 (0.073354) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'SGD'}
0.894686 (0.078932) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'Adamax'}
0.891787 (0.061609) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'SGD'}
0.901449 (0.079121) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'Adamax'}
0.882126 (0.071170) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'SGD'}
0.904348 (0.076286) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'Adamax'}
0.905314 (0.056635) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'SGD'}
0.888889 (0.084782) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'Adamax'}
0.902415 (0.073035) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'SGD'}
0.885024 (0.073162) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'Adamax'}
0.895652 (0.074377) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'SGD'}
0.901449 (0.087843) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'Adamax'}
0.905314 (0.064133) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'SGD'}
0.897585 (0.073162) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'Adamax'}
0.904348 (0.068891) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'SGD'}
0.904348 (0.075238) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'Adamax'}
0.897585 (0.071875) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'SGD'}
0.896618 (0.076359) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'Adamax'}
0.885990 (0.071301) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'SGD'}
0.889855 (0.078219) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'Adamax'}
0.902415 (0.067729) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'SGD'}
0.886957 (0.077150) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'Adamax'}
0.905314 (0.067398) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'SGD'}
0.890821 (0.073874) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'Adamax'}
0.891787 (0.073620) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'SGD'}
0.897585 (0.076713) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'Adamax'}
0.891787 (0.079121) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'SGD'}
0.892754 (0.081205) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'Adamax'}
0.875362 (0.073924) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'SGD'}
0.895652 (0.082754) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'Adamax'}
0.898551 (0.070868) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'SGD'}
0.905314 (0.076237) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'Adamax'}
0.884058 (0.075770) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'SGD'}
0.895652 (0.080756) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'Adamax'}
0.882126 (0.071105) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'SGD'}
0.894686 (0.078814) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'Adamax'}
0.895652 (0.073874) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'SGD'}
0.892754 (0.088836) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'Adamax'}
0.902415 (0.062272) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'SGD'}
0.893720 (0.079498) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'Adamax'}
0.899517 (0.072971) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'SGD'}
0.902415 (0.072971) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'Adamax'}
0.892754 (0.061971) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'SGD'}
0.893720 (0.075151) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'Adamax'}
0.890821 (0.069444) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'SGD'}
0.896618 (0.072984) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'Adamax'}
0.900483 (0.071823) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.7, 'epochs': 200, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'SGD'}
